run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,stage,total_points,assigned_points,assigned_ratio,mapped_pred_points,mapped_accuracy,macro_precision,macro_recall,macro_iou,classes_scored
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,173568,52428,0.3020602876106195,52369,0.2055605415417518,0.15519658763331845,0.2235872824478619,0.08180644542072123,13
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,173568,34847,0.20076857485250738,34793,0.30388296496421696,0.26434487387978256,0.19386184616824167,0.09167450118482956,14
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,173568,52428,0.3020602876106195,52369,0.2055605415417518,0.15519658763331845,0.2235872824478619,0.08180644542072123,13
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,173568,34847,0.20076857485250738,34793,0.30388296496421696,0.26434487387978256,0.19386184616824167,0.09167450118482956,14
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,173568,52428,0.3020602876106195,52281,0.32814980585681225,0.1295169020618109,0.2599615029604751,0.09686619136402141,13
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,173568,34847,0.20076857485250738,34726,0.46437827564360995,0.18887442540582694,0.2541230145472799,0.13443133929829493,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,173568,52428,0.3020602876106195,52369,0.196222956329126,0.15335230620690032,0.2212709215503076,0.07985555809504316,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sam,173568,34847,0.20076857485250738,34793,0.2977323024746357,0.26363175472505834,0.19292054964224165,0.09081310832889287,14
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,box,173568,52428,0.3020602876106195,52358,0.2058329195156423,0.15550290887882298,0.22582109021104074,0.08391452346891566,13
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sam,173568,34847,0.20076857485250738,34787,0.30543018943858335,0.20272534775348575,0.21488147171849967,0.10048541792620395,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,box,173568,52428,0.3020602876106195,52352,0.22171072738386308,0.16944274405442306,0.2383406408142787,0.09747667418313685,13
ovsam3d_ablation_hybrid_clip045_merge_person_nuscenes_mini,hybrid,True,0.45,0.06,True,sam,173568,34847,0.20076857485250738,34780,0.32938470385278895,0.2363592645684642,0.22819629978801342,0.1257011660330263,13
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,box,173568,52428,0.3020602876106195,52352,0.23555929095354522,0.09695590421406328,0.25296888344259566,0.06986383411384443,13
ovsam3d_ablation_hybrid_clip060_merge_person_nuscenes_mini,hybrid,True,0.6,0.06,True,sam,173568,34847,0.20076857485250738,34780,0.35592294422081655,0.14280834234004064,0.23939038549671798,0.09815877386223307,13
